id,event,start,end,session,sessionTitle,type,title,authors,presenter,abstract,image,doi
766,BioVis,15:50,15:00,session4,Afternoon,Short Talk,PubScore: quantifying and visualizing the literature relevance of a gene set about any topic,Tiago Lubiana and Helder Nakaya,,,,
724,BioVis,16:40,17:00,session5,Afternoon II,Long Talk,Fast and curious: Efficient exploratory visualization of cross-domain interaction networks,Mehmet Gönen,,,,
1088,BioVis,17:00,17:10,session5,Afternoon II,Short Talk,Density-Preserving Visualization of Single Cells,"Ashwin Narayan, Hyunghoon Cho and Bonnie Berger",,,,
860,BioVis,17:10,17:20,session5,Afternoon II,Short Talk,iBioProVis: Interactive Visualization and Analysis of Compound Bioactivity Space,"Ahmet Sureyya Rifaioglu, Ataberk Donmez, Aybar Can Acar, Tunca Dogan, Maria Jesus Martin, Rengul Cetin-Atalay and Volkan Atalay",,,,
19,BioVis,17:20,17:30,session5,Afternoon II,Short Talk,Biovis Challenges,Ana Crisan,,,,
1151,BioVis,17:30,17:40,session6,Tools and Techniques II,Poster Talk,Visualising Variant Data on 3D Structure Using Jalview,"Mungo Carstairs, James Procter and Geoff Barton",,,,
1224,BioVis,17:30,17:40,session6,Tools and Techniques II,Poster Talk,A Customized Force-Directed Layout Algorithm With Genetic Algorithm Techniques For Biological Graphs,"Fırat Aksoydan, Rengül Atalay and Volkan Atalay",,,,
1350,BioVis,17:30,17:40,session6,Tools and Techniques II,Poster Talk,The nd_scatter widget in Jupyter and other web contexts,Aaron Watters,,,,
230,BioVis,17:30,17:40,session6,Tools and Techniques II,Poster Talk,Trend Analysis of Biological Big-data in NABIC,"Dong-Jun Lee, Tae-Ho Lee, Hye-Jin Lee, Do-Kyung An, Yil-Cho Cho and Mi-Sun Lee",,,,
1201,BioVis,17:40,17:50,session7,Applications II,Poster Talk,ExploSig: Hypothesis-driven Exploration of Mutation Signature Etiology,"Mark Keller, Welles Robinson and Mark Leiserson",,,,
853,BioVis,17:40,17:50,session7,Applications II,Poster Talk,"Cellxgene: enabling performant, interactive exploration of single-cell transcriptomics data","Sidney Bell, Jeremy Freeman, Fiona Griffin, Genevieve Haliburton, Justin Kiggins, Bruce Martin, Colin Megill and Charlotte Weaver",,,,
1292,BioVis,17:40,17:50,session7,Applications II,Poster Talk,"Advances in Neuronal Morphology Analysis, Meshing and Visualization with NeuroMorphoVis","Marwan Abdellah, Samuel Lapere, Felix Schürmann and Henry Markram",,,,
1317,BioVis,17:40,17:50,session7,Applications II,Poster Talk,Developing web tools for mass cytometry data analysis,"Gabor Beke, Lubos Klucar, Dana Cholujova and Jana Jakubikova",,,,
